Time,Current,Voltage,Wattage,Power
0:00:00,29.27272727,220,0,64.4
1:00:00,29.09090909,220,0,64
2:00:00,29.09090909,220,0,64
3:00:00,29.09090909,220,0,64
4:00:00,29.09090909,220,0,64
5:00:00,29.09090909,220,0,64
6:00:00,29.09090909,220,0,64
7:00:00,29.09090909,220,0,64
8:00:00,29.45454545,220,0,64.8
9:00:00,29.63636364,220,0,65.2
10:00:00,32.36363636,220,0,71.2
11:00:00,41.45454545,220,0,91.2
12:00:00,30,220,0,66
13:00:00,30,220,0,66
14:00:00,98,220,0,215.6
15:00:00,162.1818182,220,0,356.8
16:00:00,113.8181818,220,0,250.4
17:00:00,40.36363636,220,0,88.8
18:00:00,89.09090909,220,0,196
19:00:00,29.81818182,220,0,65.6
20:00:00,56,220,0,123.2
21:00:00,56.72727273,220,0,124.8
22:00:00,32.36363636,220,0,71.2
23:00:00,29.27272727,220,0,64.4
0,29.27272727,220,0,64.4
0.041666667,29.27272727,220,0,64.4
0.083333333,29.27272727,220,0,64.4
0.125,29.27272727,220,0,64.4
0.166666667,37.27272727,220,0,82
0.208333333,42,220,0,92.4
0.25,42,220,0,92.4
0.291666667,42.18181818,220,0,92.8
0.333333333,42.18181818,220,0,92.8
0.375,42.18181818,220,0,92.8
0.416666667,33.63636364,220,0,74
0.458333333,30.36363636,220,0,66.8
0.5,35.45454545,220,0,78
0.541666667,45.63636364,220,0,100.4
0.583333333,45.27272727,220,0,99.6
0.625,37.45454545,220,0,82.4
0.666666667,30.18181818,220,0,66.4
0.708333333,29.81818182,220,0,65.6
0.75,29.81818182,220,0,65.6
0.791666667,29.81818182,220,0,65.6
0.833333333,29.63636364,220,0,65.2
0.875,29.27272727,220,0,64.4
0.916666667,29.27272727,220,0,64.4
0.958333333,29.27272727,220,0,64.4
0,29.27272727,220,0,64.4
0.041666667,29.27272727,220,0,64.4
0.083333333,29.27272727,220,0,64.4
0.125,29.09090909,220,0,64
0.166666667,29.27272727,220,0,64.4
0.208333333,29.27272727,220,0,64.4
0.25,29.27272727,220,0,64.4
0.291666667,29.27272727,220,0,64.4
0.333333333,29.27272727,220,0,64.4
0.375,29.27272727,220,0,64.4
0.416666667,29.45454545,220,0,64.8
0.458333333,29.45454545,220,0,64.8
0.5,29.63636364,220,0,65.2
0.541666667,29.63636364,220,0,65.2
0.583333333,92.18181818,220,0,202.8
0.625,29.81818182,220,0,65.6
0.666666667,29.63636364,220,0,65.2
0.708333333,38.18181818,220,0,84
0.75,42.72727273,220,0,94
0.791666667,42.54545455,220,0,93.6
0.833333333,36.54545455,220,0,80.4
0.875,29.45454545,220,0,64.8
0.916666667,29.45454545,220,0,64.8
0.958333333,29.45454545,220,0,64.8
0,29.45454545,220,0,64.8
0.041666667,29.27272727,220,0,64.4
0.083333333,29.27272727,220,0,64.4
0.125,29.09090909,220,0,64
0.166666667,29.09090909,220,0,64
0.208333333,29.09090909,220,0,64
0.25,29.27272727,220,0,64.4
0.291666667,48.72727273,220,0,107.2
0.333333333,171.2727273,220,0,376.8
0.375,170.3636364,220,0,374.8
0.416666667,168.1818182,220,0,370
0.458333333,102.7272727,220,0,226
0.5,32.18181818,220,0,70.8
0.541666667,164.7272727,220,0,362.4
0.583333333,27.81818182,220,0,61.2
0.625,29.45454545,220,0,64.8
0.666666667,29.81818182,220,0,65.6
0.708333333,29.45454545,220,0,64.8
0.75,46.54545455,220,0,102.4
0.791666667,87.27272727,220,0,192
0.833333333,29.27272727,220,0,64.4
0.875,29.09090909,220,0,64
0.916666667,29.09090909,220,0,64
0.958333333,29.09090909,220,0,64
0,29.09090909,220,0,64
0.041666667,28.90909091,220,0,63.6
0.083333333,29.09090909,220,0,64
0.125,28.90909091,220,0,63.6
0.166666667,30.36363636,220,0,66.8
0.208333333,36.54545455,220,0,80.4
0.25,37.27272727,220,0,82
0.291666667,46.90909091,220,0,103.2
0.333333333,40.18181818,220,0,88.4
0.375,29.27272727,220,0,64.4
0.416666667,29.27272727,220,0,64.4
0.458333333,70.18181818,220,0,154.4
0.5,69.27272727,220,0,152.4
0.541666667,43.63636364,220,0,96
0.583333333,57.27272727,220,0,126
0.625,29.63636364,220,0,65.2
0.666666667,29.63636364,220,0,65.2
0.708333333,31.63636364,220,0,69.6
0.75,42.54545455,220,0,93.6
0.791666667,35.63636364,220,0,78.4
0.833333333,29.45454545,220,0,64.8
0.875,29.45454545,220,0,64.8
0.916666667,29.27272727,220,0,64.4
0.958333333,29.27272727,220,0,64.4
0,29.27272727,220,0,64.4
0.041666667,29.09090909,220,0,64
0.083333333,29.09090909,220,0,64
0.125,29.09090909,220,0,64
0.166666667,29.09090909,220,0,64
0.208333333,37.45454545,220,0,82.4
0.25,36.18181818,220,0,79.6
0.291666667,29.09090909,220,0,64
0.333333333,29.63636364,220,0,65.2
0.375,29.27272727,220,0,64.4
0.416666667,29.27272727,220,0,64.4
0.458333333,61.09090909,220,0,134.4
0.5,83.81818182,220,0,184.4
0.541666667,85.81818182,220,0,188.8
